AST;,0.02, ,14.30,212.2,212.2,0, ,14.54,1000,15000,5, ,80,95, ,0, ,14.30,-99,-99,92
AST;,0.02, ,14.33,219.0,219.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,14.33,-99,-99,95
AST;,0.02, ,13.49,215.3,215.3,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.49,-99,-99,96
AST;,0.02, ,13.89,216.9,216.9,0, ,14.54,1000,15000,7, ,80,95, ,0, ,13.89,-99,-99,97
AST;,0.02, ,13.98,230.2,230.2,0, ,14.54,1000,15000,7, ,80,95, ,0, ,13.98,-99,-99,100
AST;,0.02, ,13.99,229.6,229.6,0, ,14.54,1000,15000,7, ,80,95, ,0, ,13.99,-99,-99,100
AST;,0.02, ,13.97,223.6,223.6,0, ,14.54,1000,15000,7, ,80,95, ,0, ,13.97,-99,-99,100
CST;,3,0,1,70,  ,1,1,  ,1,1,0, ,0,0,0,  ,128
AST;,0.02, ,14.01,228.2,228.2,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.01,-99,-99,100
AST;,0.02, ,13.99,223.6,223.6,0, ,14.54,1000,15000,7, ,80,95, ,0, ,13.99,-99,-99,100
AST;,0.02, ,14.04,229.0,229.0,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.04,-99,-99,100
AST;,0.02, ,14.06,230.5,230.5,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.06,-99,-99,100
AST;,0.02, ,14.05,226.9,226.9,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.05,-99,-99,100
AST;,0.02, ,14.06,227.0,227.0,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.06,-99,-99,100
AST;,0.02, ,14.09,229.8,229.8,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.09,-99,-99,100
AST;,0.02, ,14.08,226.7,226.7,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.08,-99,-99,100
AST;,0.02, ,14.10,227.2,227.2,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.10,-99,-99,100
AST;,0.02, ,14.12,229.2,229.2,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.12,-99,-99,100
AST;,0.02, ,14.14,231.2,231.2,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.14,-99,-99,100
AST;,0.02, ,14.13,226.3,226.3,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.13,-99,-99,100
CPE;,3,14.60,270,5,0, ,0,0,0.00,0, ,13.40,-1,0,-10,0,12.80, ,0,0.00,0, ,15.30,0,3,0, ,0.016,15,-50,125
AST;,0.02, ,14.13,224.5,224.5,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.13,-99,-99,100
AST;,0.02, ,14.13,222.2,222.2,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.13,-99,-99,100
AST;,0.02, ,14.14,222.1,222.1,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.14,-99,-99,100
AST;,0.02, ,14.20,232.2,232.2,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.20,-99,-99,100
AST;,0.02, ,14.21,232.7,232.7,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.21,-99,-99,100
AST;,0.02, ,14.18,224.6,224.6,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.18,-99,-99,100
AST;,0.02, ,14.18,222.4,222.4,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.18,-99,-99,100
AST;,0.02, ,14.23,230.3,230.3,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.23,-99,-99,100
AST;,0.02, ,14.23,227.9,227.9,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.23,-99,-99,100
AST;,0.02, ,14.26,231.9,231.9,0, ,14.54,1000,15000,7, ,80,95, ,0, ,14.26,-99,-99,100
